,row.ID,Inhibition.zone,Penicillium.side,Penicillium_strains
1,Cocul01,2263,202,Penicillium yarmokense
2,Cocul04,120211,26533,Penicillium trzebinskii
3,Cocul07,1,335,Penicillium nalgiovense
4,Cocul08,1615,1,Penicillium mallochii
5,Cocul09,883,632,Penicillium velutinum 
6,Cocul10,103,647,Penicillium chrysogenum
7,Cocul11,5054,1576,Penicillium polonicum
8,Cocul12,498,1,Penicillium janczewskii 
9,Cocul13,1,820,Penicillium magnielliptisporum
10,Cocul14,849,555,Penicillium limosum 
11,Cocul16,1935,184,Penicillium allii
12,Cocul17,1,115,Penicillium fellutanum
13,Cocul20,111,717,Penicillium aurantioviolaceum
14,Cocul21,8855,1,Penicillium jejuense
15,Cocul25,549,1,Penicillium daejeonium 
16,Cocul26,576,196,Penicillium soppii 
17,Cocul33,3802,904,Penicillium ochrochloron
18,Cocul35,1,157,Penicillium kongii
19,Cocul36,1,349,Penicillium pancosmium
20,Cocul37,1368,237,Penicillium annulatum
21,Cocul38,168,268,Penicillium skrjabinii
22,Cocul39,787,1,Penicillium svalbardense
23,Cocul40,36597,176,Penicillium sp. 99
24,Cocul41,16316,1,Penicillium virgatum
25,Cocul42,13600,862,Penicillium madriti
26,Cocul44,850,1,Penicillium sclerotiorum
27,Cocul45,647,114,Penicillium radiatolobatum
28,Cocul47,6182,1352,Penicillium cairnsense
29,Cocul49,306,1,Penicillium antarcticum
30,Cocul50,1,1423,Penicillium aurantiogriseum
31,Cocul51,519,1357,Penicillium brasilianum
32,Cocul53,689,1646,Penicillium charlesii
33,Cocul54,8052,5627,Penicillium commune
34,Cocul56,157,134,Penicillium daleae
35,Cocul57,727,2137,Penicillium echinulatum
36,Cocul59,4583,1,Penicillium guanacastense
37,Cocul60,4229,1428,Penicillium ibericum
38,Cocul61,3671,298,Penicillium sp.92
39,Cocul63,496,1403,Penicillium mexicanum
40,Cocul66,1,178,Penicillium paxilli
41,Cocul67,6175,1922,Penicillium piscarium
42,Cocul70,1931,867,Penicillium viridicatum
43,Cocul72,1426,581,Penicillium ortum 
44,Cocul73,230,1,Penicillium raperi
45,Cocul84,4039,1,Penicillium frequentans
46,Cocul87,1831,1,Penicillium maximae
47,Cocul89,467,1871,Penicillium glabrum
